Unnamed: 0,Company,TypeName,Ram,Gpu,Weight,Touchscreen,IPS_display,SSD,HDD,Flash_Storage,Hybrid,Oper_sys,Clock_speed,CPU,ppi,Price
427,Dell,Ultrabook,8.0,Intel,1.6,0,0,256,0,0,0,Linux,2.8,Intel Core i7,157.3505121487356,10.977716980635757
428,HP,Gaming,12.0,Nvidia,3.35,0,0,256,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.575963360732532
429,Mediacom,2 in 1 Convertible,4.0,Intel,1.16,1,1,32,0,0,0,Windows 10,1.1,Other Intel Processors,189.90579052433608,9.67600459962282
430,Samsung,Netbook,4.0,Intel,1.15,0,0,0,0,16,0,No OS/Chrome OS/Android,1.6,Other Intel Processors,135.0942111925629,9.570272405833974
431,Lenovo,Notebook,8.0,Intel,1.4,0,1,256,0,0,0,Windows 10,2.7,Intel Core i7,165.6321180513006,10.89326663606744
432,Lenovo,Notebook,4.0,Intel,1.7,0,1,128,0,0,0,Windows 10,2.7,Intel Core i3,157.3505121487356,10.370822624347584
433,Lenovo,Workstation,16.0,Nvidia,2.3,0,1,512,0,0,0,Windows 10,2.8,Intel Core i7,282.42399616439724,11.777361428141106
434,Lenovo,Notebook,16.0,Nvidia,2.5,0,0,512,0,0,0,Windows 10,2.9,Intel Core i7,141.21199808219862,11.7789960831843
435,Asus,Gaming,8.0,AMD,3.2,0,0,256,1000,0,0,Windows 10,3.2,AMD,127.33567457123112,11.410999046046683
436,HP,Notebook,4.0,Intel,2.1,0,0,0,500,0,0,Windows 10,1.6,Other Intel Processors,100.45466986113652,9.824885806178992
437,Google,Ultrabook,16.0,Intel,1.1,1,0,512,0,0,0,No OS/Chrome OS/Android,1.3,Intel Core i7,234.50740003017813,11.671319016786894
438,Lenovo,Ultrabook,24.0,Intel,1.32,0,0,512,0,0,0,Windows 10,2.7,Intel Core i7,209.8006828649808,11.75125677614738
439,Asus,Notebook,4.0,Intel,2.0,0,0,256,0,0,0,Linux,2.5,Intel Core i5,141.21199808219862,10.301710499387234
440,Lenovo,Notebook,8.0,AMD,2.8,0,0,0,1000,0,0,Windows 10,2.5,AMD,106.11306214269258,10.227464909398025
441,Dell,Notebook,4.0,AMD,2.2,0,0,256,0,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,10.594300009749354
442,Lenovo,Ultrabook,8.0,Intel,1.36,0,1,256,0,0,0,Windows 10,2.5,Intel Core i5,176.23257360658386,11.240291204162
443,Lenovo,Notebook,4.0,Intel,2.2,0,0,128,0,0,0,Windows 10,1.1,Other Intel Processors,141.21199808219862,9.83063294843456
444,HP,Gaming,8.0,Nvidia,2.2,0,1,128,1000,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,10.977716980635757
445,Dell,Notebook,8.0,Nvidia,1.64,0,0,256,0,0,0,Windows 10,2.8,Intel Core i5,157.3505121487356,11.047982926769505
446,Acer,Notebook,4.0,Intel,2.4,0,0,0,500,0,0,Linux,2.5,Intel Core i5,100.45466986113652,10.066418317218153
447,Dell,Workstation,8.0,Nvidia,2.23,0,0,0,1000,64,0,Windows 10,3.0,Other Intel Processors,141.21199808219862,11.572957346444928
448,MSI,Gaming,8.0,Nvidia,2.2,0,0,256,0,0,0,Windows 10,2.5,Intel Core i5,141.21199808219862,10.910678521970082
449,Microsoft,Ultrabook,16.0,Intel,1.25,1,0,512,0,0,0,Windows 10,2.5,Intel Core i7,200.84255993695703,11.83458800598367
450,HP,Notebook,8.0,Intel,1.91,0,0,128,0,0,0,Windows 10,2.5,Intel Core i5,100.45466986113652,10.35398720988372
451,Dell,Workstation,16.0,Nvidia,2.17,0,1,256,0,0,0,Windows 10,2.7,Intel Core i7,141.21199808219862,11.563884703567355
452,HP,Workstation,8.0,Intel,2.31,0,1,512,0,0,0,Windows 10,2.9,Intel Core i7,141.21199808219862,11.311195008159336
453,Lenovo,Notebook,8.0,Intel,1.65,0,0,256,0,0,0,Windows 10,2.5,Intel Core i5,157.3505121487356,11.179710318268071
454,Dell,Notebook,8.0,AMD,2.36,0,0,128,1000,0,0,Windows 10,1.8,Intel Core i7,141.21199808219862,10.862092668762644
455,Dell,2 in 1 Convertible,4.0,Intel,1.47,1,0,0,500,0,0,Windows 10,1.6,Other Intel Processors,135.0942111925629,10.147261623643049
456,Dell,Notebook,8.0,Nvidia,4.42,0,1,0,1000,0,0,Windows 10,2.7,Intel Core i7,127.33567457123112,11.599202972743706
457,Microsoft,Ultrabook,4.0,Intel,1.252,1,0,128,0,0,0,Windows 10,2.2,Other Intel Processors,200.84255993695703,10.872255357854844
458,Microsoft,Ultrabook,8.0,Intel,1.25,1,0,256,0,0,0,Windows 10,2.5,Intel Core i7,200.84255993695703,11.470547260182666
459,HP,Notebook,8.0,Intel,2.5,0,0,256,0,0,0,Windows 10,2.0,Intel Core i3,106.11306214269258,10.436872940377548
460,Acer,Notebook,4.0,Nvidia,2.23,0,0,0,1000,0,0,Windows 10,2.0,Intel Core i3,141.21199808219862,10.274510273088076
461,Acer,Netbook,4.0,Intel,1.4,0,0,128,0,0,0,Windows 10,1.6,Other Intel Processors,135.0942111925629,10.050907057320815
462,Asus,Notebook,8.0,Intel,2.37,0,0,0,1000,0,0,Windows 10,2.5,Intel Core i5,141.21199808219862,10.594300009749354
463,Lenovo,Notebook,8.0,AMD,1.5,0,1,512,0,0,0,No OS/Chrome OS/Android,2.7,Intel Core i7,157.3505121487356,10.658921971998408
464,Lenovo,Notebook,8.0,Nvidia,2.67,0,0,256,0,0,0,Windows 10,2.9,Intel Core i7,141.21199808219862,11.62048037119099
465,Asus,Notebook,4.0,Intel,2.0,0,0,0,500,0,0,Windows 10,1.1,Other Intel Processors,100.45466986113652,9.692588727638356
466,Acer,Notebook,4.0,Nvidia,2.2,0,0,0,500,0,0,Windows 10,2.0,Intel Core i3,100.45466986113652,10.126163794678414
467,Dell,Notebook,8.0,AMD,2.02,0,0,0,2000,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,10.607562803627763
468,HP,Gaming,12.0,Nvidia,3.78,0,1,0,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.413356147904066
469,Lenovo,Ultrabook,12.0,Intel,1.4,0,1,256,0,0,0,Windows 10,2.6,Intel Core i7,209.8006828649808,11.502816945605918
470,HP,2 in 1 Convertible,8.0,Intel,1.29,1,1,512,0,0,0,Windows 10,1.8,Intel Core i7,331.2642361026012,11.575963360732532
471,HP,Notebook,8.0,AMD,1.9,0,0,0,500,0,0,Windows 10,2.5,Intel Core i5,141.21199808219862,11.026550473300178
472,Google,Ultrabook,8.0,Intel,1.1,1,0,128,0,0,0,No OS/Chrome OS/Android,1.2,Intel Core i5,234.50740003017813,11.12626248382466
473,Dell,Ultrabook,8.0,Intel,1.42,1,0,256,0,0,0,Windows 10,1.6,Intel Core i5,165.6321180513006,11.494086806506765
474,Asus,Notebook,12.0,Intel,2.06,0,1,128,1000,0,0,Windows 10,2.6,Intel Core i7,282.42399616439724,11.144911042902732
475,Dell,Notebook,8.0,Intel,1.79,0,0,128,0,0,0,Windows 10,2.3,Intel Core i3,111.93520355955212,10.58221121243035
476,Dell,Workstation,8.0,Nvidia,1.78,0,0,256,0,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.762112832660844
477,Lenovo,Notebook,8.0,Intel,1.7,0,0,180,0,0,0,Windows 10,2.5,Intel Core i5,157.3505121487356,11.19373786463554
478,Dell,Notebook,8.0,AMD,2.2,0,0,0,1000,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,10.490273717104664
479,Toshiba,Notebook,8.0,Intel,1.05,0,1,256,0,0,0,Windows 10,2.5,Intel Core i5,165.6321180513006,11.39733681987678
480,Dell,Notebook,8.0,Nvidia,2.16,0,1,512,0,0,0,Windows 10,1.8,Intel Core i7,141.21199808219862,11.116014069333293
481,Dell,Notebook,4.0,Intel,2.18,0,0,0,1000,0,0,Windows 10,2.4,Intel Core i3,100.45466986113652,10.349904182775484
482,HP,Notebook,4.0,Intel,1.49,0,1,128,0,0,0,Windows 10,1.6,Intel Core i5,165.6321180513006,10.56311104105693
483,Chuwi,Notebook,4.0,Intel,1.89,0,0,0,0,64,0,Windows 10,1.44,Other Intel Processors,141.21199808219862,9.49261223560568
484,Lenovo,Notebook,4.0,Intel,2.3,0,0,128,0,0,0,Windows 10,2.0,Intel Core i3,100.45466986113652,10.312386757378574
485,Lenovo,Notebook,8.0,Intel,1.75,0,1,256,0,0,0,Windows 10,1.6,Intel Core i5,157.3505121487356,10.931153634628432
486,Dell,Workstation,16.0,Nvidia,2.17,0,1,512,0,0,0,Windows 10,2.7,Intel Core i7,141.21199808219862,11.732612168264149
487,Dell,Notebook,16.0,Nvidia,2.06,0,0,512,0,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.52464373704442
488,Lenovo,Ultrabook,16.0,Intel,1.36,0,1,512,0,0,0,Windows 10,2.7,Intel Core i7,176.23257360658386,11.4699912412637
489,Asus,Ultrabook,16.0,Intel,0.91,0,0,512,0,0,0,Windows 10,2.7,Intel Core i7,176.23257360658386,11.551145677789926
490,Lenovo,Notebook,8.0,Nvidia,2.3,0,1,256,0,0,0,Windows 10,2.5,Intel Core i5,141.21199808219862,10.895234994607796
